dTXYEAR,dROLLNMBR,dASSESSMENTBASE,dASSESSCD,dASSESSTYPE,dASSESSVALLAND,dASSESSVALIMPR,dASSESSVALOTHER,dASSESSCHANGECD,dASSESSVALEXMPTLAND,dASSESSVALEXMPTIMPR,dASSESSVALEXMPTOTH
2021,200,4,30,0,286900,0,0,AA,74590,0,0
2021,275,4,30,0,233100,0,0,AA,60610,0,0
2021,300,4,12,0,76500,142400,0,AA,34430,64080,0
2021,300,4,30,0,86200,10500,0,AA,22410,2730,0
2021,350,4,30,0,233300,0,0,AA,60660,0,0
2021,390,4,11,0,137800,0,0,AA,62010,0,0
2021,392,4,11,0,133900,0,0,AA,60260,0,0
2021,392,4,11,1,-1800,0,0,SUP,-810,0,0
2021,394,4,11,0,132100,0,0,AA,59450,0,0
2021,396,4,11,0,120100,0,0,AA,54050,0,0
2021,398,4,11,0,125700,0,0,AA,56570,0,0
2021,400,4,11,0,76500,184500,0,AA,34430,83030,0
2021,400,4,30,0,63600,8100,0,AA,16540,2110,0
2021,420,4,30,0,55700,0,0,AA,14480,0,0
2021,440,4,30,0,376800,0,0,AA,97970,0,0
2021,500,4,11,0,133700,286900,0,AA,60170,129110,0
2021,550,4,11,0,76500,315800,0,AA,34430,142110,0
2021,550,4,30,0,98200,0,0,AA,25530,0,0
2021,600,4,11,0,127900,141400,0,AA,57560,63630,0
2021,700,4,11,0,119400,203500,0,AA,53730,91580,0
2021,700,4,60,0,8900,27900,0,AA,5790,18140,0
2021,710,2,11,0,20500,0,0,AA,9230,0,0
2021,750,4,11,0,137600,138800,0,AA,61920,62460,0
2021,800,4,11,0,146200,250500,0,AA,65790,112730,0
2021,810,4,11,0,96500,129900,0,AA,43430,58460,0
2021,900,4,11,0,130100,221600,0,AA,58550,99720,0
2021,950,4,11,0,158700,166100,0,AA,71420,74750,0
2021,950,4,11,1,0,24700,0,SUP,0,11110,0
2021,1000,4,11,0,121400,120300,0,AA,54630,54140,0
2021,1010,4,11,0,125000,148300,0,AA,56250,66740,0
2021,1015,4,60,0,150600,317800,0,AA,97890,206570,0
2021,1025,4,30,0,296800,3100,0,AA,77170,810,0
2021,1100,4,12,0,76500,35800,0,AA,34430,16110,0
2021,1100,4,30,0,526000,74000,0,AA,136760,19240,0
2021,1105,4,11,0,120800,220300,0,AA,54360,99140,0
2021,1110,4,11,0,120800,205200,0,AA,54360,92340,0
2021,1120,4,11,0,137900,237100,0,AA,62060,106700,0
2021,1200,4,11,0,124400,117200,0,AA,55980,52740,0
2021,1250,4,30,0,698300,0,0,AA,181560,0,0
2021,1300,4,11,0,137900,322800,0,AA,62060,145260,0
2021,1310,4,30,0,219600,0,0,AA,57100,0,0
2021,1320,4,30,0,602000,0,0,AA,156520,0,0
2021,1400,4,11,0,165900,190200,0,AA,74660,85590,0
2021,1500,4,11,0,121600,0,0,AA,54720,0,0
2021,1510,4,11,0,97000,149400,0,AA,43650,67230,0
2021,1600,4,11,0,120100,369400,0,AA,54050,166230,0
2021,1700,4,11,0,76500,297500,0,AA,34430,133880,0
2021,1700,4,30,0,412300,0,0,AA,107200,0,0
