ROLL,CLASS11LAN,CLASS11BLD,CLASS12LAN,CLASS12BLD,CLASS20LAN,CLASS20BLD,CLASS30LAN,CLASS30BLD,CLASS31LAN,CLASS31BLD,CLASS32LAN,CLASS32BLD,CLASS40LAN,CLASS40BLD,CLASS51LAN,CLASS51BLD,CLASS52LAN,CLASS52BLD,CLASS60LAN,CLASS60BLD,CLASS70LAN,CLASS70BLD,CLASS80LAN,CLASS80BLD,YEAR
200,0,0,0,0,0,0,286900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
275,0,0,0,0,0,0,233100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
300,0,0,76500,142400,0,0,86200,10500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
350,0,0,0,0,0,0,233300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
390,137800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
392,132100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
394,132100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
396,120100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
398,125700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
400,76500,184500,0,0,0,0,63600,8100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
420,0,0,0,0,0,0,55700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
440,0,0,0,0,0,0,376800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
500,133700,286900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
550,76500,315800,0,0,0,0,98200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
600,127900,141400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
700,119400,203500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8900,27900,0,0,0,0,2021
710,20500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
750,137600,138800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
800,146200,250500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
810,96500,129900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
900,130100,221600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
950,158700,190800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1000,121400,120300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1010,125000,148300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150600,317800,0,0,0,0,2021
1025,0,0,0,0,0,0,296800,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1100,0,0,76500,35800,0,0,526000,74000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1105,120800,220300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1110,120800,205200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1120,137900,237100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1200,124400,117200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1250,0,0,0,0,0,0,698300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1300,137900,322800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1310,0,0,0,0,0,0,219600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1320,0,0,0,0,0,0,602000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1400,165900,190200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1500,121600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1510,97000,149400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1600,120100,369400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1700,76500,297500,0,0,0,0,412300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1800,0,0,76500,71600,0,0,267600,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
1950,0,0,0,0,0,0,287900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2000,0,0,45000,1186400,0,0,823600,2125000,0,0,0,0,15000,47800,0,0,0,0,0,0,0,0,0,0,2021
2100,76500,257300,0,0,0,0,142400,19200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2125,0,0,0,0,0,0,24800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2300,0,0,0,0,0,0,2914500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2400,0,0,0,0,0,0,354700,19800,0,0,0,0,0,0,0,0,0,0,7800,4300,0,0,0,0,2021
2420,59900,211500,0,0,0,0,0,0,16400,66300,49200,66300,0,0,0,0,0,0,0,0,0,0,0,0,2021
2600,0,0,0,0,0,0,234100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2700,0,0,0,0,0,0,316800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2710,86200,152500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2720,86200,189100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2730,86200,219700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2740,71600,194500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14600,38700,0,0,0,0,2021
2750,86200,222300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2760,86200,287800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2770,89600,174200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2775,84100,227000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2780,84100,134400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2785,84100,361000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2790,84100,337500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2795,0,0,0,0,0,0,0,0,154600,0,202400,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2800,0,0,0,0,0,0,231400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
2900,0,0,0,0,0,0,235500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3000,0,0,0,0,0,0,378400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3100,0,0,0,0,0,0,378500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3200,0,0,59900,322100,0,0,309000,518700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3210,92000,217400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3300,0,0,99000,182800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3325,0,0,0,0,0,0,220600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3400,0,0,0,0,0,0,234800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3500,0,0,0,0,0,0,652200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3600,108100,170000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3700,0,0,0,0,0,0,36800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3800,65900,299200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48100,21600,0,0,0,0,2021
3810,0,0,0,0,0,0,654900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3820,150700,172300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3830,114000,278000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
3900,0,0,0,0,0,0,222900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4000,59900,141300,0,0,0,0,61500,42600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4050,0,0,0,0,0,0,448500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4100,0,0,0,0,0,0,0,0,50000,0,126200,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4210,0,0,0,0,0,0,343300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4215,0,0,0,0,0,0,379800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4300,0,0,0,0,0,0,700800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4350,0,0,0,0,0,0,0,0,49400,0,125900,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4400,115800,139300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4500,92200,133900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4600,79900,91400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4700,0,0,0,0,0,0,965700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4800,59900,221600,0,0,0,0,67200,90800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
4900,0,0,0,0,0,0,381100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5000,0,0,66000,213800,0,0,72900,155500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5100,0,0,0,0,0,0,185700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5200,0,0,0,0,0,0,568800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5300,0,0,0,0,0,0,473800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5305,64800,139900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5310,64800,194700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5320,64800,128900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5360,64900,181600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5380,65300,193000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5400,64800,105200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5500,57000,199900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8500,15000,0,0,0,0,2021
5600,0,0,0,0,0,0,235500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5700,0,0,0,0,0,0,375700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
5800,117700,253300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2021
