manufacturer,fuel_type,num_of_doors,body_style,length,width,height,num_of_cylinders,engine_size,horsepower,price
audi,gas,four,sedan,176.6,66.2,54.3,four,109,102,"$13,950 "
audi,gas,four,sedan,176.6,66.4,54.3,five,136,115,"$17,450 "
audi,gas,four,sedan,192.7,71.4,55.7,five,136,110,"$17,710 "
audi,gas,four,sedan,192.7,71.4,55.9,five,131,140,"$23,875 "
bmw,gas,two,sedan,176.8,64.8,54.3,four,108,101,"$16,430 "
bmw,gas,four,sedan,176.8,64.8,54.3,four,108,101,"$16,925 "
bmw,gas,two,sedan,176.8,64.8,54.3,six,164,121,"$20,970 "
bmw,gas,four,sedan,176.8,64.8,54.3,six,164,121,"$21,105 "
chevrolet,gas,two,hatchback,141.1,60.3,53.2,three,61,48,"$5,151 "
chevrolet,gas,two,hatchback,155.9,63.6,52,four,90,70,"$6,295 "
chevrolet,gas,four,sedan,158.8,63.6,52,four,90,70,"$6,575 "
dodge,gas,two,hatchback,157.3,63.8,50.8,four,90,68,"$5,572 "
dodge,gas,two,hatchback,157.3,63.8,50.8,four,90,68,"$6,377 "
dodge,gas,two,hatchback,157.3,63.8,50.8,four,98,102,"$7,957 "
dodge,gas,four,hatchback,157.3,63.8,50.6,four,90,68,"$6,229 "
dodge,gas,four,sedan,157.3,63.8,50.6,four,90,68,"$6,692 "
dodge,gas,four,sedan,157.3,63.8,50.6,four,90,68,"$7,609 "
dodge,gas,four,wagon,174.6,64.6,59.8,four,122,88,"$8,921 "
dodge,gas,two,hatchback,173.2,66.3,50.2,four,156,145,"$12,964 "
honda,gas,two,hatchback,144.6,63.9,50.8,four,92,58,"$6,479 "
honda,gas,two,hatchback,144.6,63.9,50.8,four,92,76,"$6,855 "
honda,gas,two,hatchback,150,64,52.6,four,79,60,"$5,399 "
honda,gas,two,hatchback,150,64,52.6,four,92,76,"$6,529 "
honda,gas,two,hatchback,150,64,52.6,four,92,76,"$7,129 "
honda,gas,four,sedan,163.4,64,54.5,four,92,76,"$7,295 "
honda,gas,four,wagon,157.1,63.9,58.3,four,92,76,"$7,295 "
honda,gas,two,hatchback,167.5,65.2,53.3,four,110,86,"$7,895 "
honda,gas,two,hatchback,167.5,65.2,53.3,four,110,86,"$9,095 "
honda,gas,four,sedan,175.4,65.2,54.1,four,110,86,"$8,845 "
honda,gas,four,sedan,175.4,62.5,54.1,four,110,86,"$10,295 "
honda,gas,four,sedan,175.4,65.2,54.1,four,110,101,"$12,945 "
honda,gas,two,sedan,169.1,66,51,four,110,100,"$10,345 "
jaguar,gas,four,sedan,199.6,69.6,52.8,six,258,176,"$32,250 "
mazda,gas,two,hatchback,159.1,64.2,54.1,four,91,68,"$5,195 "
mazda,gas,two,hatchback,159.1,64.2,54.1,four,91,68,"$6,095 "
mazda,gas,two,hatchback,159.1,64.2,54.1,four,91,,"$6,795 "
mazda,gas,four,sedan,166.8,64.2,54.1,four,91,68,"$6,695 "
mazda,gas,four,sedan,166.8,64.2,54.1,four,91,68,"$7,395 "
mazda,gas,two,hatchback,177.8,66.5,53.7,four,122,84,"$8,845 "
mazda,gas,four,sedan,177.8,66.5,55.5,four,122,84,"$8,495 "
mazda,gas,two,hatchback,177.8,66.5,53.7,four,122,84,"$10,595 "
mazda,gas,four,sedan,177.8,66.5,55.5,four,122,84,"$10,245 "
mazda,gas,four,hatchback,177.8,66.5,55.5,four,122,84,"$11,245 "
mazda,gas,four,sedan,175,66.1,54.4,four,140,120,"$18,280 "
mercedes-benz,diesel,four,sedan,190.9,70.3,56.5,five,183,123,"$25,552 "
mercedes-benz,diesel,four,wagon,190.9,70.3,58.7,five,183,123,"$28,248 "
mercedes-benz,diesel,two,hardtop,187.5,70.3,54.9,five,183,123,"$28,176 "
mercedes-benz,diesel,four,sedan,202.6,71.7,56.3,five,183,123,"$31,600 "
mercedes-benz,gas,two,convertible,180.3,70.5,50.8,eight,234,155,"$35,056 "
mitsubishi,gas,two,hatchback,157.3,64.4,50.8,four,92,68,"$5,389 "
mitsubishi,gas,two,hatchback,157.3,64.4,50.8,four,92,68,"$6,189 "
mitsubishi,gas,two,hatchback,157.3,64.4,50.8,four,92,68,"$6,669 "
mitsubishi,gas,two,hatchback,157.3,63.8,50.8,four,98,102,"$7,689 "
mitsubishi,gas,two,hatchback,173,65.4,49.4,four,110,116,"$9,959 "
mitsubishi,gas,two,hatchback,173,65.4,49.4,four,122,88,"$8,499 "
mitsubishi,gas,four,sedan,172.4,65.4,51.6,four,122,,"$6,989 "
mitsubishi,gas,four,sedan,172.4,65.4,51.6,four,122,88,"$8,189 "
mitsubishi,gas,four,sedan,172.4,65.4,51.6,four,110,116,"$9,279 "
mitsubishi,gas,four,sedan,172.4,65.4,51.6,four,110,116,"$9,279 "
nissan,gas,two,sedan,165.3,63.8,54.5,four,97,69,"$5,499 "
nissan,diesel,two,sedan,165.3,63.8,54.5,four,103,55,"$7,099 "
nissan,gas,two,sedan,165.3,63.8,54.5,four,97,69,"$6,649 "
nissan,gas,four,sedan,165.3,63.8,54.5,four,97,69,"$6,849 "
nissan,gas,four,wagon,170.2,63.8,53.5,four,97,69,"$7,349 "
nissan,gas,two,sedan,165.3,63.8,54.5,four,97,69,"$7,299 "
nissan,gas,two,hatchback,165.6,63.8,53.3,four,97,69,"$7,799 "
nissan,gas,four,sedan,165.3,63.8,54.5,four,97,69,"$7,499 "
nissan,gas,four,wagon,170.2,63.8,53.5,four,97,69,"$7,999 "
nissan,gas,two,hardtop,162.4,63.8,53.3,four,97,69,"$8,249 "
nissan,gas,four,hatchback,173.4,65.2,54.7,four,120,97,"$8,949 "
nissan,gas,four,sedan,173.4,65.2,54.7,four,120,97,"$9,549 "
nissan,gas,four,sedan,181.7,66.5,55.1,six,181,152,"$13,499 "
nissan,gas,four,wagon,184.6,66.5,56.1,six,181,152,"$14,399 "
nissan,gas,four,sedan,184.6,66.5,55.1,six,181,152,"$13,499 "
nissan,gas,two,hatchback,170.7,67.9,49.7,six,181,160,"$17,199 "
nissan,gas,two,hatchback,170.7,67.9,49.7,six,181,200,"$19,699 "
nissan,gas,two,hatchback,178.5,67.9,49.7,six,181,160,"$18,399 "
peugot,gas,four,sedan,186.7,68.4,56.7,four,120,97,"$11,900 "
peugot,diesel,four,sedan,186.7,68.4,56.7,four,152,95,"$13,200 "
peugot,gas,four,sedan,186.7,68.4,56.7,four,120,95,"$15,580 "
peugot,diesel,four,sedan,186.7,68.4,56.7,four,152,95,"$16,900 "
peugot,gas,four,sedan,186.7,68.4,56.7,four,120,97,"$16,630 "
peugot,diesel,four,sedan,186.7,68.4,56.7,four,152,,"$17,950 "
peugot,gas,four,sedan,186.7,68.3,56,four,134,142,"$18,150 "
plymouth,gas,two,hatchback,157.3,63.8,50.8,four,90,68,"$5,572 "
plymouth,gas,two,hatchback,157.3,63.8,50.8,four,98,102,"$7,957 "
plymouth,gas,four,hatchback,157.3,63.8,50.6,four,90,68,"$6,229 "
plymouth,gas,four,sedan,167.3,63.8,50.8,four,90,68,"$6,692 "
