Application. ID,Age,Gender,Location,Parents Edu.,Siblings,RAM-1 Score,RAM-2 Score,HS Score,School Rank,SOP,Admission Status
Ref#12436,23 yrs,Male,Eastern,F,No,54,64,30%,Avg,2.5,No
Ref#22094,20 yrs,Female,Western,M+F,No,34,27,40%,Avg,1.5,No
Ref#39403,19 yrs,Female,Central,M+F,No,48,38,100%,High,2.5,Yes
Ref#43891,16 yrs,Male,Eastern,M+F,Yes,81,97,44%,Low,1.5,Yes
Ref#57083,19 yrs,Female,Eastern,M,No,56,67,78%,Low,2.5,No
Ref#63450,20 yrs,Female,Western,M,No,63,75,36%,High,2.0,No
Ref#76388,22 yrs,Female,Eastern,M+F,Yes,79,94,84%,Avg,2.5,Yes
Ref#87338,22 yrs,Male,Western,M+F,Yes,77,92,67%,High,4.5,Yes
Ref#93759,15 yrs,Female,Eastern,M+F,Yes,99,100,96%,Low,4.5,Yes
Ref#10906,16 yrs,Male,Central,M+F,Yes,40,32,13%,Low,3.0,Yes
Ref#11987,19 yrs,Male,Eastern,F,Yes,36,28,25%,Low,3.5,Yes
Ref#12849,20 yrs,Male,Western,M,No,13,10,23%,Low,3.5,Yes
Ref#13613,17 yrs,Male,Eastern,M+F,No,55,66,49%,Avg,2.0,No
Ref#14690,16 yrs,Female,Central,M+F,Yes,20,16,58%,High,2.5,Yes
Ref#15138,21 yrs,Male,Western,M+F,Yes,29,23,93%,High,4.0,Yes
Ref#16404,23 yrs,Female,Central,M,Yes,100,100,36%,Low,1.5,Yes
Ref#17927,18 yrs,Male,Eastern,M+F,Yes,22,17,46%,Avg,3.5,Yes
Ref#18291,20 yrs,Male,Eastern,M+F,No,20,16,79%,High,1.0,Yes
Ref#19892,22 yrs,Female,Eastern,M,No,87,100,18%,High,2.5,Yes
Ref#20390,22 yrs,Female,Eastern,M,No,75,90,84%,High,3.5,Yes
Ref#21505,16 yrs,Male,Western,F,No,94,100,66%,Low,2.5,Yes
Ref#22908,19 yrs,Male,Eastern,F,Yes,61,73,64%,Low,3.5,Yes
Ref#23164,23 yrs,Male,Central,M+F,No,33,26,91%,Low,3.5,Yes
Ref#24354,18 yrs,Male,Central,F,Yes,42,33,57%,Low,2.5,No
Ref#25732,20 yrs,Male,Western,M,No,83,99,89%,Avg,2.0,Yes
Ref#26557,15 yrs,Female,Eastern,M+F,Yes,99,100,53%,Low,2.0,Yes
Ref#27462,16 yrs,Female,Central,M+F,Yes,58,69,81%,High,2.5,Yes
Ref#28701,21 yrs,Female,Central,M,No,22,17,39%,High,4.5,Yes
Ref#29465,15 yrs,Female,Eastern,F,Yes,40,32,68%,Avg,4.5,Yes
Ref#30385,20 yrs,Male,Eastern,M,No,41,32,61%,Low,1.5,No
Ref#31871,18 yrs,Male,Western,M,Yes,51,61,56%,High,3.0,No
Ref#32356,22 yrs,Female,Central,M+F,Yes,38,30,95%,Low,3.5,Yes
Ref#33615,20 yrs,Female,Central,M+F,No,70,84,67%,Avg,2.5,No
Ref#34511,23 yrs,Female,Central,M,Yes,54,64,55%,Avg,1.0,No
Ref#35122,16 yrs,Female,Western,M+F,No,87,100,58%,Low,1.5,Yes
Ref#36887,20 yrs,Female,Western,M+F,No,29,23,79%,Avg,2.0,No
Ref#37277,17 yrs,Female,Eastern,M+F,No,59,70,77%,Low,1.5,No
Ref#38125,21 yrs,Male,Western,M+F,Yes,51,61,85%,Low,2.5,Yes
Ref#39632,15 yrs,Male,Western,F,Yes,16,12,72%,Low,2.5,No
Ref#40523,16 yrs,Male,Eastern,F,Yes,18,14,29%,Avg,1.5,No
