Gender,Location,Quiz-1,Quiz-2,Quiz-3,Quiz-4,Major-1,Major-2,Major-3,Final
Male,Jeddah,17,17,24,16,100,92,85,86
Female,Jeddah,10,21,14,8,16,28,17,25
Female,Jeddah,7,21,23,7,55,45,41,43
Male,Dammam,22,10,21,12,80,70,67,68
Female,Dammam,21,15,17,18,81,79,78,81
Female,Dammam,14,24,5,14,89,76,88,75
Male,Qassim,21,22,21,21,93,87,88,86
Female,Riyadh,16,11,6,25,87,98,95,92
Male,Dammam,20,13,5,12,57,65,58,59
Male,Madinah,15,23,11,21,74,71,82,71
Male,Dammam,13,20,5,11,62,49,64,50
Male,Dhahran,9,13,19,10,52,56,62,47
Male,Dhahran,9,12,14,11,19,33,18,33
Female,Dammam,10,17,13,10,28,39,46,36
Male,Makkah,14,22,20,18,87,86,90,84
Female,Jeddah,2,8,14,1,29,19,28,18
Female,Jeddah,16,7,15,9,54,50,42,50
Female,Riyadh,15,16,21,16,55,58,63,57
Female,Makkah,18,5,15,20,94,84,84,85
Female,Qassim,8,5,14,8,46,43,33,43
Female,Madinah,15,9,14,8,39,40,42,37
Male,Makkah,17,11,5,19,83,76,95,81
Male,Riyadh,18,17,14,17,61,76,62,69
Female,Jeddah,12,8,9,11,41,39,44,40
Female,Jeddah,15,18,8,9,41,52,50,46
Male,Madinah,20,14,10,12,79,67,74,71
Female,Makkah,7,13,19,13,47,41,31,41
Female,Dhahran,1,20,11,0,31,30,18,23
Female,Makkah,9,13,22,4,34,27,32,25
Female,Dammam,13,10,7,9,57,62,52,52
Female,Jeddah,9,17,21,6,46,26,31,29
Female,Makkah,10,11,23,6,17,23,29,21
Male,Dhahran,20,24,24,21,82,75,76,82
Male,Makkah,19,11,24,18,63,64,62,65
Male,Riyadh,8,19,20,9,41,49,35,40
Female,Dammam,9,25,7,8,55,66,62,51
Male,Riyadh,9,10,20,13,60,67,57,58
Male,Makkah,14,6,15,22,75,88,86,84
Female,Madinah,19,6,8,20,79,65,70,73
