Quiz-1,Quiz-2,Quiz-3,Quiz-4,Major-1,Major-2,Major-3,Final
21,5,14,20,84,82,92,86
13,21,10,10,40,41,44,38
4,7,24,7,27,22,25,20
22,7,19,14,81,92,93,84
8,6,17,9,30,39,33,36
15,18,13,20,92,96,89,88
23,12,21,20,89,90,92,90
3,19,15,12,26,33,31,32
8,12,10,2,23,36,30,22
17,22,23,14,68,80,78,70
16,6,19,8,64,61,61,55
22,20,10,20,84,84,86,82
13,23,21,9,27,34,39,31
11,25,19,13,62,68,74,61
8,21,11,9,40,26,46,33
23,18,11,21,90,81,84,88
13,24,5,22,75,85,80,81
17,24,21,19,84,79,77,78
5,25,15,2,21,25,24,19
9,7,24,5,48,40,43,38
2,8,24,3,18,24,19,19
7,12,15,4,24,33,39,24
11,25,8,19,56,71,64,62
1,12,22,8,28,15,20,22
24,23,23,18,95,94,82,94
20,16,12,14,73,81,72,73
21,24,10,17,77,84,86,80
12,20,15,19,69,59,57,67
13,21,20,20,88,88,82,84
19,17,16,11,77,60,58,61
3,22,7,4,36,31,22,24
7,13,20,5,37,24,22,28
13,11,12,9,50,44,60,46
6,25,11,8,33,46,47,36
13,8,25,6,55,52,44,45
19,20,12,13,57,58,69,57
16,19,9,12,54,52,57,53
13,6,21,14,59,53,58,57
6,18,7,6,22,18,36,20
19,10,22,20,67,68,82,70
6,11,12,9,25,29,35,28
10,22,5,10,32,40,45,37
7,5,19,2,36,36,34,31
7,9,17,0,15,22,29,14
17,23,6,9,61,48,64,54
7,9,18,9,14,12,32,18
4,9,14,7,13,20,21,15
10,25,14,8,41,35,43,38
9,22,6,9,53,66,62,51
12,8,13,12,65,52,52,54
7,22,5,5,41,35,41,32
25,24,9,19,91,96,91,89
7,24,18,13,40,40,35,43
18,7,6,16,84,77,87,77
9,12,21,0,30,16,21,17
16,5,5,7,50,40,44,41
12,22,25,8,45,45,41,39
18,9,13,20,98,90,80,87
10,15,17,9,46,37,44,42
8,14,6,7,21,35,21,25
10,18,16,9,22,19,28,25
19,18,16,23,86,80,73,82
4,22,20,8,29,26,36,27
19,12,16,18,61,55,73,65
14,13,9,19,72,57,63,64
23,9,10,23,82,87,77,86
21,6,23,15,64,77,63,68
9,16,17,4,44,30,42,29
15,20,17,13,75,74,73,71
11,5,14,19,55,52,72,55
13,20,18,3,30,45,28,36
5,23,6,10,19,28,31,23
6,25,8,2,29,37,33,28
17,22,7,10,63,56,48,53
10,14,24,3,31,39,27,28
14,25,16,13,72,82,64,70
9,17,23,17,53,51,51,51
16,16,25,19,59,60,63,62
15,18,13,13,89,79,83,76
10,5,7,1,16,12,24,11
10,5,15,5,22,16,26,18
9,19,6,12,40,40,40,39
10,5,21,7,47,57,58,49
13,17,11,17,72,65,73,64
10,22,9,10,45,43,34,43
14,18,9,9,67,58,63,56
13,19,24,13,68,86,74,69
5,10,13,1,22,19,25,17
16,10,24,12,62,55,52,57
21,7,6,16,87,75,72,79
20,12,22,20,77,64,73,73
5,13,13,3,21,28,35,23
6,14,8,7,40,39,27,35
16,25,16,12,68,81,70,68
22,10,18,14,82,79,67,74
1,22,23,4,17,35,36,22
17,13,16,21,95,96,85,89
8,8,10,14,53,48,53,48
23,14,16,16,77,75,86,74
15,20,22,13,70,66,67,61
2,14,16,9,13,26,21,24
15,23,24,12,46,56,62,53
22,11,8,22,91,71,82,85
12,16,7,13,69,70,75,64
1,20,11,4,18,18,29,14
18,10,10,16,75,73,74,71
17,22,24,22,80,82,85,79
15,20,15,18,75,78,70,76
5,22,7,2,17,12,30,12
19,6,16,18,76,91,95,82
23,9,8,20,97,83,94,89
12,17,17,15,58,68,58,61
21,14,12,23,97,84,84,88
22,11,5,24,80,94,86,90
16,19,8,11,78,62,79,61
10,15,9,10,64,76,71,60
17,6,5,12,60,54,55,57
2,23,14,2,19,15,28,14
17,23,11,23,87,79,83,81
15,6,25,19,52,67,67,61
4,23,6,10,25,18,20,21
23,18,16,18,93,76,87,80
19,17,8,19,71,74,74,77
15,17,12,17,60,45,52,55
2,15,9,12,27,39,30,33
23,23,13,16,91,95,97,91
6,8,5,7,16,27,16,25
8,6,13,8,43,41,43,40
9,20,20,5,28,28,21,23
18,6,7,18,71,85,71,75
13,21,22,18,64,64,62,66
15,5,6,20,80,88,89,84
14,13,9,15,93,82,90,77
10,15,19,7,22,19,25,20
9,18,15,12,38,40,55,40
12,20,8,11,61,72,61,58
7,20,23,7,52,53,48,45
14,17,19,13,52,57,65,56
16,5,11,19,68,79,76,74
19,17,19,20,80,93,78,85
14,21,15,14,73,78,76,70
10,25,6,15,45,56,39,54
20,18,22,13,68,64,74,63
12,12,23,16,54,67,69,58
14,24,19,14,49,41,45,45
8,24,13,8,37,28,26,33
18,14,13,18,87,84,86,84
15,13,8,17,67,69,63,69
5,11,13,7,21,27,28,23
3,15,10,7,33,23,29,25
5,25,11,0,14,13,20,8
3,11,21,9,41,31,38,32
1,8,11,0,32,20,26,19
17,19,15,18,70,71,72,72
10,24,21,13,51,45,54,48
20,10,5,14,83,66,81,69
7,16,10,11,30,24,26,30
10,24,8,11,55,35,43,42
3,11,7,8,44,33,28,35
10,18,19,9,56,48,52,47
2,9,25,7,27,31,17,24
16,23,16,16,48,53,48,57
12,23,16,18,63,50,63,59
3,7,5,8,32,26,34,26
16,16,23,6,46,40,52,42
